date,total_energy_kwh,session_count,unique_stations_used
2018-01-01,403.727,46,21
2018-01-02,844.335,87,23
2018-01-03,822.073,99,23
2018-01-04,1025.252,108,25
2018-01-05,897.292,100,24
2018-01-06,604.12,78,23
2018-01-07,721.2,81,23
2018-01-08,901.098,102,25
2018-01-09,926.603,105,25
2018-01-10,998.523,119,25
2018-01-11,1101.762,122,25
2018-01-12,1050.753,117,25
2018-01-13,701.095,102,25
2018-01-14,692.219,81,23
2018-01-15,800.771,99,24
2018-01-16,1047.477,117,25
2018-01-17,1072.435,128,25
2018-01-18,1076.323,122,25
2018-01-19,1142.077,129,24
2018-01-20,767.319,104,24
2018-01-21,647.266,82,23
2018-01-22,1061.105,116,25
2018-01-23,1059.73,124,25
2018-01-24,1189.297,136,25
2018-01-25,1130.727,138,26
2018-01-26,1087.988,124,25
2018-01-27,828.23,115,24
2018-01-28,793.3629999999999,91,25
2018-01-29,896.64,108,25
2018-01-30,1099.572,128,25
2018-01-31,1036.539,119,25
2018-02-01,1048.01,116,25
2018-02-02,1034.3220000000001,123,25
2018-02-03,818.384,93,24
2018-02-04,368.055,54,20
2018-02-05,777.492,101,25
2018-02-06,999.3389999999999,113,26
2018-02-07,1016.121,122,24
2018-02-08,1016.273,128,26
2018-02-09,1026.911,130,25
2018-02-10,570.029,84,24
2018-02-11,544.581,78,24
2018-02-12,1012.001,119,25
2018-02-13,1095.715,130,26
2018-02-14,1232.205,134,24
2018-02-15,1054.109,125,25
2018-02-16,1166.46,130,25
2018-02-17,516.977,79,23
2018-02-18,529.923,73,22
2018-02-19,563.205,79,21
2018-02-20,947.751,110,26
2018-02-21,1125.917,125,24
2018-02-22,1159.296,122,25
2018-02-23,886.69,108,26
2018-02-24,732.719,97,25
2018-02-25,621.394,66,22
2018-02-26,864.936,101,25
2018-02-27,1097.657,120,25
2018-02-28,1120.882,132,26
2018-03-01,1051.106,126,24
2018-03-02,1079.539,134,25
2018-03-03,677.864,79,24
2018-03-04,537.606,77,21
2018-03-05,969.258,112,25
2018-03-06,1034.946,123,25
2018-03-07,1285.9470000000001,144,25
2018-03-08,1042.954,129,24
2018-03-09,1067.072,129,24
2018-03-10,572.7570000000001,84,24
2018-03-11,428.974,75,23
2018-03-12,895.931,100,25
2018-03-13,1048.899,124,24
2018-03-14,1173.146,137,25
2018-03-15,1058.365,124,26
2018-03-16,1177.55,121,24
2018-03-17,819.333,110,25
2018-03-18,685.203,94,24
2018-03-19,1017.256,109,26
2018-03-20,965.679,102,23
2018-03-21,1164.715,143,28
2018-03-22,1033.222,123,27
2018-03-23,1349.433,144,29
2018-03-24,848.076,96,23
2018-03-25,692.541,89,26
2018-03-26,1105.856,126,29
2018-03-27,989.909,119,29
2018-03-28,1168.893,137,27
2018-03-29,1137.887,139,28
2018-03-30,1028.835,125,29
2018-03-31,696.89,90,26
2018-04-01,436.712,61,25
2018-04-02,796.324,97,29
2018-04-03,907.043,117,29
2018-04-04,990.552,117,28
2018-04-05,1095.395,127,29
2018-04-06,892.887,114,28
2018-04-07,630.36,75,22
2018-04-08,728.245,83,26
2018-04-09,773.43,99,26
2018-04-10,1202.701,132,28
2018-04-11,1182.431,138,28
2018-04-12,1070.527,126,29
2018-04-13,1149.313,133,27
2018-04-14,745.419,86,24
2018-04-15,658.389,96,28
2018-04-16,936.367,107,27
2018-04-17,1154.861,121,29
2018-04-18,896.408,116,31
2018-04-19,1217.627,133,28
2018-04-20,1050.389,113,26
2018-04-21,549.269,88,29
2018-04-22,708.16,90,25
2018-04-23,913.927,102,28
2018-04-24,1005.9639999999999,132,30
2018-04-25,1230.04,138,29
2018-04-26,1014.4,121,29
2018-04-27,982.831,111,28
2018-04-28,710.279,87,27
2018-04-29,741.767,98,24
2018-04-30,1102.905,129,29
2018-05-01,1268.81,144,30
2018-05-02,1205.99,144,27
2018-05-03,1073.409,133,28
2018-05-04,1096.768,135,29
2018-05-05,780.366,107,29
2018-05-06,705.263,81,26
2018-05-07,1053.839,120,28
2018-05-08,1011.278,119,29
2018-05-09,1099.642,131,28
2018-05-10,974.93,119,29
2018-05-11,1296.598,156,28
2018-05-12,580.004,96,25
2018-05-13,641.688,86,26
2018-05-14,1027.701,122,27
2018-05-15,1141.547,140,29
2018-05-16,1107.339,132,26
2018-05-17,1275.475,153,30
2018-05-18,1044.225,135,29
2018-05-19,799.99,98,25
2018-05-20,581.066,75,25
2018-05-21,1008.133,119,29
2018-05-22,1047.644,130,30
2018-05-23,1218.041,147,29
2018-05-24,1202.546,148,30
2018-05-25,1110.17,128,28
2018-05-26,595.865,77,26
2018-05-27,624.9590000000001,72,24
2018-05-28,591.6179999999999,65,29
2018-05-29,1061.29,138,29
2018-05-30,1206.467,143,30
2018-05-31,1203.333,148,31
2018-06-01,1122.632,135,29
2018-06-02,877.095,100,27
2018-06-03,604.734,82,27
2018-06-04,1082.561,115,29
2018-06-05,962.1370000000001,131,28
2018-06-06,1014.711,116,29
2018-06-07,1287.433,149,29
2018-06-08,942.97,129,27
2018-06-09,655.408,98,28
2018-06-10,628.84,91,27
2018-06-11,941.984,117,29
2018-06-12,1123.907,138,30
2018-06-13,1131.686,130,28
2018-06-14,1185.219,148,30
2018-06-15,1086.32,141,29
2018-06-16,652.723,84,25
2018-06-17,540.662,91,24
2018-06-18,894.48,116,30
2018-06-19,1124.942,131,30
2018-06-20,1170.706,137,29
2018-06-21,1151.7,130,31
2018-06-22,1099.586,138,28
2018-06-23,934.444,99,26
2018-06-24,470.214,76,26
2018-06-25,892.775,123,30
2018-06-26,935.444,123,30
2018-06-27,942.513,119,27
2018-06-28,1067.355,136,29
2018-06-29,976.453,117,27
2018-06-30,767.468,92,28
2018-07-01,539.118,73,25
2018-07-02,849.294,102,29
2018-07-03,899.955,103,29
2018-07-04,424.964,46,21
2018-07-05,871.956,103,29
2018-07-06,985.356,113,29
2018-07-07,599.93,91,28
2018-07-08,776.187,88,24
2018-07-09,1067.957,128,29
2018-07-10,1305.469,148,29
2018-07-11,1220.422,141,28
2018-07-12,956.447,120,30
2018-07-13,1217.706,134,28
2018-07-14,715.055,103,27
2018-07-15,670.496,90,26
2018-07-16,1134.458,121,27
2018-07-17,987.09,127,30
2018-07-18,950.451,124,29
2018-07-19,1024.122,128,28
2018-07-20,960.882,117,27
2018-07-21,558.969,91,26
2018-07-22,725.581,100,26
2018-07-23,925.742,112,26
2018-07-24,1040.657,115,27
2018-07-25,905.543,123,27
2018-07-26,973.431,118,29
2018-07-27,1087.66,124,26
2018-07-28,710.257,101,27
2018-07-29,554.455,72,25
2018-07-30,894.333,106,27
2018-07-31,989.373,116,29
2018-08-01,1051.762,124,29
2018-08-02,961.1610000000001,120,28
2018-08-03,939.964,117,28
2018-08-04,638.254,80,27
2018-08-05,674.501,84,26
2018-08-06,1038.809,115,29
2018-08-07,901.862,115,27
2018-08-08,881.342,103,28
2018-08-09,1115.99,130,30
2018-08-10,1007.231,112,26
2018-08-11,603.96,87,27
2018-08-12,676.023,92,26
2018-08-13,930.616,108,30
2018-08-14,1030.674,126,30
2018-08-15,991.907,123,27
2018-08-16,885.364,119,28
2018-08-17,1047.84,127,30
2018-08-18,718.815,96,27
2018-08-19,753.601,98,27
2018-08-20,888.481,96,28
2018-08-21,955.324,121,27
2018-08-22,1157.383,125,29
2018-08-23,972.256,123,27
2018-08-24,974.705,123,25
2018-08-25,861.83,118,27
2018-08-26,1030.899,114,28
2018-08-27,1077.445,117,28
2018-08-28,921.57,112,26
2018-08-29,987.332,110,24
2018-08-30,988.879,121,27
2018-08-31,992.95,119,28
2018-09-01,618.581,70,27
